============================================================
PAGE 12 — TABLE 1  (accuracy: 99.12, flavor: lattice)
============================================================
|         | 1                            | 2                                                                                                                                                    | 3      | 4                                                 | 5                                           | 6                                                | 7                                   | 8                          | 9                                                                                          | 10                               | 11                          | 12                                                                                                      | 13                                                                                                                                             | 14                               | 15                               | 16                               | 17                                                                    | 18    | 19                                                                                                                                 |
| ------- | ---------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------------- | ------ | ------------------------------------------------- | ------------------------------------------- | ------------------------------------------------ | ----------------------------------- | -------------------------- | ------------------------------------------------------------------------------------------ | -------------------------------- | --------------------------- | ------------------------------------------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | -------------------------------- | -------------------------------- | --------------------------------------------------------------------- | ----- | ---------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. | Name of Substation           | Substation Coordinates                                                                                                                               | Region | Transformation Capacity (MVA)                     |                                             |                                                  | RE Capacity Granted  (Connectivity) |                            |                                                                                            |                                  |                             |                                                                                                         | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |                                  |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks                                                                                                                            |
|         |                              |                                                                                                                                                      |        | Planned                                           | Existing                                    | Under  Implementation                            | 220kV                               |                            |                                                                                            | 400kV                            |                             |                                                                                                         | 220kV*                                                                                                                                         |                                  | 400kV*                           |                                  | 220kV                                                                 | 400kV |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                                                                             | Bay No.                          | Connectivity  Quantum  (MW) | Name of Entity                                                                                          | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No.                          | Bay-wise Margins  Available (MW) |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     |                            |                                                                                            | 407                              | 1200                        | ACME Solar Holdings Ltd. (4 applications each 300)                                                      |                                                                                                                                                |                                  | 407                              | 0                                |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     | 0                          |                                                                                            |                                  | 2200                        |                                                                                                         |                                                                                                                                                |                                  |                                  | 0                                |                                                                       |       |                                                                                                                                    |
| 57      | 765/400/220kV Bhadla-II PS # | Boundary Coordinates Point1:- 27.5047695, 72.4764157 Point2:- 27.5103991, 72.4844684 Point3:- 27.5160828, 72.4792790 Point4:- 27.5109950, 72.4713292 | NR     | 1x500 MVA,  400/220kV                             | 4x1500MVA,  765/400kV 8X500MVA,  400/220kV  | 1x1500MVA,  765/400kV 2X500MVA,  400/220kV       | 202 203 205 206                     | 925                        | Rajasthan Solar Park Development Company Ltd.                                              | 441                              | 550                         | NTPC Ltd.(250+300)                                                                                      | 202                                                                                                                                            | 0                                | 441 412 415                      | 0 0 0                            |                                                                       |       | No more evacuation can be accommodated due  to system capacity constraints in existing /  planned system                           |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     |                            |                                                                                            | 412                              | 950                         | Azure Power India Private Limited (500+150) Green Infra Clean Wind Ltd. (300MW)                         | 203                                                                                                                                            |                                  |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     |                            |                                                                                            | 415                              | 550                         | Adani Renewable Energy Holding Four Ltd. (500MW) Adani Renewable Energy Holding Eighteen Limited (50MW) | 205                                                                                                                                            |                                  |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  |                                     |                            |                                                                                            |                                  |                             |                                                                                                         | 206                                                                                                                                            |                                  |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 208                                 | 250                        | Mahindra Susten  Pvt. Ltd.                                                                 |                                  |                             |                                                                                                         | 208                                                                                                                                            | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 209                                 | 300                        | ABC Solar (India) Private Limited (erstwhile TBEA Solar  (India) Pvt Ltd.)                 |                                  |                             |                                                                                                         | 209                                                                                                                                            | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 218                                 | 300                        | ACME Solar Holdings Pvt. Ltd. (erstwhile ACME Solar Holdings Ltd)                          |                                  |                             |                                                                                                         | 218                                                                                                                                            | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 219                                 | 300                        | NTPC Ltd.                                                                                  |                                  |                             |                                                                                                         | 219                                                                                                                                            | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | 221                                 | 300                        | Eden Renewable Alma Private Limited                                                        |                                  |                             |                                                                                                         | 221                                                                                                                                            | 0                                |                                  |                                  |                                                                       |       |                                                                                                                                    |
|         |                              |                                                                                                                                                      |        |                                                   |                                             |                                                  | A202                                | 600                        | Project Nine Renewable Power Private Limited (450MW)                                       |                                  |                             |                                                                                                         | A202                                                                                                                                           |                                  |                                  |                                  |                                                                       |       |                                                                                                                                    |
