============================================================
PAGE 3 — TABLE 1  (accuracy: 97.99, flavor: lattice)
============================================================
|         | 1                                        | 2                                                                                                                                    | 3      | 4                                                               | 5                                              | 6                                                                                            | 7                                                                                         | 8                          | 9                                                                                    | 10                                | 11                          | 12                                                                                                          | 13                                                                                                                                             | 14                               | 15      | 16                               | 17                                                                    | 18    | 19                                                                                                                                                                            |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      | 3                                 | 1000                        | Renew Solar Power Pvt. Ltd. (300+100+100+200+300)                                                           |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      | 4                                 | 400                         | ACME Solar Holdings Ltd. (400MW)                                                                            |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           |                            |                                                                                      |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              |                                                                                           | 650                        |                                                                                      |                                   | 2800                        |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
| 12      | 400/220kV Rajgarh (PG) (existing)   S/s# | 22.68222222˚ N,  74.92444444˚ E                                                                                                      | WR     |                                                                 | 2x315 MVA, 400/220  KV                         | 2x500MVA,  400/220 kV (3rd  &4th) (segregated from existing 220kV bus  through bus  section) | Section-A                                                                                 |                            |                                                                                      |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       | @Injection of power would be on the extended  bus through 220kV GIS line bays being  terminated into 2x500MVA, 400/220kV ICT.                                                 |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | 209 298.24 Sprng Vayu Vidyut Pvt Ltd.(55.44+50.4+50.4+ 42); Sprng Akshaya Urja Pvt. (100) |                            |                                                                                      |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | Section-B (Extended Bus)@                                                                 |                            |                                                                                      |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | 215                                                                                       | 226.8                      | VEH Jayin Renewable Pvt. Ltd. (151.8); VEH Wind Energy Pvt. Ltd. (75)                |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | 217                                                                                       | 366.8                      | Sprng Vayu Vidyut Pvt. Ltd. (100+100.8+82+16.8); Sprng Akshaya Urja Pvt. Ltd. (67.2) |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
|         |                                          |                                                                                                                                      |        |                                                                 |                                                |                                                                                              | 4                                                                                         | 200                        | Avaada Energy Pvt. Ltd. (50 + 150)                                                   |                                   |                             |                                                                                                             |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                               |
