============================================================
PAGE 15 — TABLE 1  (accuracy: 98.86, flavor: lattice)
============================================================
|            | 1                                             | 2                                                                                                                                                                                                                 | 3         | 4                                          | 5        | 6                     | 7                                   | 8                          | 9                                                                                                                | 10      | 11                          | 12                                                                     | 13                                                                                                                                             | 14                               | 15      | 16                               | 17                                                                    | 18    | 19                                                                                                                                                                  |
| ---------- | --------------------------------------------- | ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- | --------- | ------------------------------------------ | -------- | --------------------- | ----------------------------------- | -------------------------- | ---------------------------------------------------------------------------------------------------------------- | ------- | --------------------------- | ---------------------------------------------------------------------- | ---------------------------------------------------------------------------------------------------------------------------------------------- | -------------------------------- | ------- | -------------------------------- | --------------------------------------------------------------------- | ----- | ------------------------------------------------------------------------------------------------------------------------------------------------------------------- |
| Sl. No. 67 | Name of Substation 765/400/220kV Bhadla-IV PS | Substation Coordinates Location yet to be identified                                                                                                                                                              | Region NR | Transformation Capacity (MVA)              |          |                       | RE Capacity Granted  (Connectivity) |                            |                                                                                                                  |         |                             |                                                                        | Margin  on Existing / Under Implementation Bays (for  power evacuation margin, sheet reg. status of margin at  ISTS substation may be refered) |                                  |         |                                  | Space Provision for Future  Additional Line Bays (No.) for  Injection |       | Remarks Tr. System under planning.                                                                                                                                  |
|            |                                               |                                                                                                                                                                                                                   |           | Planned Under Planning                     | Existing | Under  Implementation | 220kV                               |                            |                                                                                                                  | 400kV   |                             |                                                                        | 220kV*                                                                                                                                         |                                  | 400kV*  |                                  | 220kV                                                                 | 400kV |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | Bay No.                             | Connectivity  Quantum (MW) | Name of Entity                                                                                                   | Bay No. | Connectivity  Quantum  (MW) | Name of Entity                                                         | Bay No.                                                                                                                                        | Bay-wise Margins  Available (MW) | Bay No. | Bay-wise Margins  Available (MW) |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 7                                   | 300                        | Enren-IV Energy Private Limited                                                                                  |         | 1000                        | Unique Hytech Renewable Energy Pvt. Ltd.                               | 7                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 8                                   | 300                        | Apraava Energy Private Limited                                                                                   |         |                             |                                                                        | 8                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 9                                   |                            |                                                                                                                  |         |                             |                                                                        | 9                                                                                                                                              | 0                                |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 2511.5                     |                                                                                                                  |         | 3450                        |                                                                        |                                                                                                                                                | 41.5                             |         |                                  |                                                                       |       |                                                                                                                                                                     |
| 73         | 765/400/220kV Bikaner-V PS                    | Location yet to be identified                                                                                                                                                                                     | NR        | To be planned                              |          |                       | 1                                   | 400                        | Saurya Urja Company of  Rajasthan Limited                                                                        | 1       | 1600                        | NTPC Renewable Energy Limited (1000+600)                               | 1                                                                                                                                              |                                  | 1       |                                  |                                                                       |       | No more evacuation (except 170MW) can be  accommodated due to system capacity  constraints in existing / planned system                                             |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 2                                   | 250                        | IRAAX International (OPC) Private Limited (100+150)                                                              | 2       |                             |                                                                        | 2                                                                                                                                              |                                  | 2       |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 3                                   | 236                        | Avaada RJBikaner Private Limited (136)                                                                           | 3       | 560                         | Avaada Suryaenergy Private Limited                                     | 3                                                                                                                                              |                                  | 3       |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 4                                   | 300                        | SA Renewable Infra Private Limited (100)                                                                         |         |                             |                                                                        | 4                                                                                                                                              |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 5                                   | 300                        | Vena Energy Vindhya Wind Power Private                                                                           |         |                             |                                                                        | 5                                                                                                                                              |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 6                                   | 400                        | Juniper Green Energy Private Limited                                                                             |         |                             |                                                                        | 6                                                                                                                                              |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 7                                   | 350                        | Sunsure Solarpark RJ One Private Limited                                                                         |         |                             |                                                                        | 7                                                                                                                                              |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 8                                   | 300                        | Purvah Green Power Private Limited                                                                               |         |                             |                                                                        | 8                                                                                                                                              |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 9                                   | 300                        | Purvah Green Power Private Limited                                                                               |         |                             |                                                                        | 9                                                                                                                                              |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 10                                  | 130                        | Juniper Green Energy Private Limited                                                                             |         |                             |                                                                        | 10                                                                                                                                             | 170                              |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 11                                  | 354                        | AVAADA RJBIKANER PRIVATE LIMITED                                                                                 |         |                             |                                                                        | 11                                                                                                                                             |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 12                                  | 350                        | Avaada Energy Private Limited                                                                                    |         |                             |                                                                        | 12                                                                                                                                             |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 3670                       |                                                                                                                  |         | 2160                        |                                                                        |                                                                                                                                                | 170                              |         | 0                                |                                                                       |       |                                                                                                                                                                     |
| 74         | 765/400/220kV  Ramgarh-II PS                  | Location yet to be identified                                                                                                                                                                                     | NR        | To be planned                              |          |                       | 1                                   | 400                        | ReNew Solar Power Private Limited                                                                                | 1       | 1000                        | Adani Renewable Energy Holding Four                                    | 1                                                                                                                                              |                                  | 1       |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 2                                   | 150                        | RJS Renewables Private Limited                                                                                   | 2       | 1000                        | Adani Renewable Energy Holding Four                                    | 2                                                                                                                                              | 150                              | 2       |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 3                                   | 297                        | SHN Green Power Private Limited                                                                                  | 3       | 700                         | JSW Neo Energy Limited                                                 | 3                                                                                                                                              |                                  | 3       | 200                              |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 4                                   | 300                        | Dangri Wind Energy Pvt Ltd (100MW) Dharvi Kalan Wind Energy Pvt Ltd (100MW) Junachay Wind Energy Pvt Ltd (100MW) |         |                             |                                                                        | 4                                                                                                                                              |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 5                                   | 300                        | Tata Power Renewable Energy Limited                                                                              |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 1447                       |                                                                                                                  |         | 2700                        |                                                                        |                                                                                                                                                | 150                              |         | 200                              |                                                                       |       |                                                                                                                                                                     |
| 75         | 400/220kV Jalore PS                           | Location yet to be identified                                                                                                                                                                                     | NR        | To be planned                              |          |                       | 1                                   | 600                        | Sprng Vaayu Urja Private Limited                                                                                 |         | 1000                        | ReNew Solar Power Private Limited                                      |                                                                                                                                                |                                  |         |                                  | 1                                                                     |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     |                            |                                                                                                                  |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 2 3                                 | 300                        | TEQ Green Power XV Private Limited                                                                               |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 900                        |                                                                                                                  |         | 1000                        |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
| 76         | 400/220kV Sanchore PS                         | Location yet to be identified                                                                                                                                                                                     | NR        | To be planned                              |          |                       | 1                                   | 300                        | HR Saraswati Energy Private Limited                                                                              |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     | 300                        |                                                                                                                  |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
| 77         | 400/220kV Pali PS                             | Location yet to be identified                                                                                                                                                                                     | NR        | To be planned                              |          |                       | 1                                   | 300                        | TEQ Green XV Pvt. Ltd.                                                                                           |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  | 5                                                                     |       |                                                                                                                                                                     |
|            |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       | 2                                   | 300                        | Diyos Three Renewables Ltd.                                                                                      |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
| 600        |                                               |                                                                                                                                                                                                                   |           |                                            |          |                       |                                     |                            |                                                                                                                  |         |                             |                                                                        |                                                                                                                                                |                                  |         |                                  |                                                                       |       |                                                                                                                                                                     |
